ROCO_ID,PMC_ID,Keywords,Caption,keyword_label,matched_keywords,split,sample_id,caption,keywords,label,image_path,image_exists,caption_len,pair_id
ROCO_45405,PMC4898002_gr1.jpg,"boy,right,ap,limp,normal,radiograph,tibia,fibula", 26-month-old boy with limp. AP radiograph of right tibia and fibula is normal.,xray_radiograph,radiograph,train,ROCO_45405,26-month-old boy with limp. AP radiograph of right tibia and fibula is normal.,"boy,right,ap,limp,normal,radiograph,tibia,fibula",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4898002_gr1.jpg,True,78,train_021144
ROCO_22519,PMC4719401_JOCR-5-5-g009.jpg,"week,patient,thumb,lateral,radiograph,reduction,mcpj,spica,view"," Radiograph of Patient 2’s left thumb MCPJ at one week postoperatively in thumb spica, confirming reduction was maintained (lateral view)",xray_radiograph,radiograph,train,ROCO_22519,"Radiograph of Patient 2’s left thumb MCPJ at one week postoperatively in thumb spica, confirming reduction was maintained (lateral view)","week,patient,thumb,lateral,radiograph,reduction,mcpj,spica,view",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4719401_JOCR-5-5-g009.jpg,True,136,train_010450
ROCO_37361,PMC3174127_1752-1947-5-370-3.jpg,"scan,region,level,teratoma,mri,lumbosacral", MRI scan showing the teratoma at the level of the lumbosacral region.,mri,mri,train,ROCO_37361,MRI scan showing the teratoma at the level of the lumbosacral region.,"scan,region,level,teratoma,mri,lumbosacral",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3174127_1752-1947-5-370-3.jpg,True,69,train_017357
ROCO_53418,PMC3435848_kjr-13-530-g005.jpg,"thyroid,nodule,papillary,lesion,microcalcification,solid,eccentric,image,woman,transverse,ultrasound,portion,internal,carcinoma,substantial,multiple,configuration,margin,cystic", Transverse ultrasound image of predominantly cystic nodule in 63-year-old woman shows eccentric configuration of internal solid portion with multiple microcalcifications. Note non-smooth margin of internal solid portion (arrows). This lesion was surgically confirmed as papillary thyroid carcinoma despite substantial cystic portion.,ultrasound,ultrasound,train,ROCO_53418,Transverse ultrasound image of predominantly cystic nodule in 63-year-old woman shows eccentric configuration of internal solid portion with multiple microcalcifications. Note non-smooth margin of internal solid portion (arrows). This lesion was surgically confirmed as papillary thyroid carcinoma despite substantial cystic portion.,"thyroid,nodule,papillary,lesion,microcalcification,solid,eccentric,image,woman,transverse,ultrasound,portion,internal,carcinoma,substantial,multiple,configuration,margin,cystic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3435848_kjr-13-530-g005.jpg,True,333,train_024876
ROCO_17677,PMC4662984_ECAM2015-315219.001.jpg,"longaxi,electrolysi,placement,ultrasound,image,needle,usguided,tendon,application,echogenic,percutaneou,greyscale,supraspinatu", Long-axis grey-scale ultrasound image displaying the supraspinatus tendon during needle placement showing the echogenic needle during the application of US-guided percutaneous electrolysis.,ultrasound,ultrasound,train,ROCO_17677,Long-axis grey-scale ultrasound image displaying the supraspinatus tendon during needle placement showing the echogenic needle during the application of US-guided percutaneous electrolysis.,"longaxi,electrolysi,placement,ultrasound,image,needle,usguided,tendon,application,echogenic,percutaneou,greyscale,supraspinatu",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4662984_ECAM2015-315219.001.jpg,True,189,train_008183
ROCO_35057,PMC3915723_CRIM.ANESTHESIOLOGY2014-320264.004.jpg,"ultrasound,lower,thorax", Ultrasound of lower thorax.,ultrasound,ultrasound,train,ROCO_35057,Ultrasound of lower thorax.,"ultrasound,lower,thorax",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3915723_CRIM.ANESTHESIOLOGY2014-320264.004.jpg,True,27,train_016261
ROCO_48347,PMC4168644_JCIS-4-45-g009.jpg,"anterior,blue,pain,patellar,calcification,show,quadriceps,ultrasound,white,ligament,arrow,knee,tendinopathy,lady,side,red,left", 53-year-old lady who suffered from anterior knee pain diagnosed as tendinopathy. Ultrasound of left knee shows tendinopathy with calcifications (white arrow) at the patellar side (blue arrow) of the quadriceps ligament (red arrows).,ultrasound,ultrasound,train,ROCO_48347,53-year-old lady who suffered from anterior knee pain diagnosed as tendinopathy. Ultrasound of left knee shows tendinopathy with calcifications (white arrow) at the patellar side (blue arrow) of the quadriceps ligament (red arrows).,"anterior,blue,pain,patellar,calcification,show,quadriceps,ultrasound,white,ligament,arrow,knee,tendinopathy,lady,side,red,left",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4168644_JCIS-4-45-g009.jpg,True,232,train_022498
ROCO_78408,PMC4851536_MA-70-154-g003.jpg,"urinary,mas,wall,bladder,tumor,front,ct", CT - tumor mass on the front wall of the urinary bladder,ct,ct,train,ROCO_78408,CT - tumor mass on the front wall of the urinary bladder,"urinary,mas,wall,bladder,tumor,front,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4851536_MA-70-154-g003.jpg,True,56,train_036509
ROCO_24562,PMC3860153_CRIM.UROLOGY2013-645787.002.jpg,"absent,doppler,hospitalization,scrotal,color,flow,heterogeneou,interrogation,ultrasound,right,blood,testi,hyperemic,epididymi,day,prominent"," Right scrotal ultrasound with color Doppler interrogation on day 7 of hospitalization showing A: right markedly heterogeneous testis with blood flow essentially absent; B: prominent, hyperemic right epididymis.",ultrasound,ultrasound,train,ROCO_24562,"Right scrotal ultrasound with color Doppler interrogation on day 7 of hospitalization showing A: right markedly heterogeneous testis with blood flow essentially absent; B: prominent, hyperemic right epididymis.","absent,doppler,hospitalization,scrotal,color,flow,heterogeneou,interrogation,ultrasound,right,blood,testi,hyperemic,epididymi,day,prominent",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3860153_CRIM.UROLOGY2013-645787.002.jpg,True,210,train_011427
ROCO_66278,PMC2878701_IJSS-03-80-g003.jpg,"longitudinal,lhb,image,rest,ultrasound,view", Ultrasound image of a longitudinal view of the LHB at rest,ultrasound,ultrasound,train,ROCO_66278,Ultrasound image of a longitudinal view of the LHB at rest,"longitudinal,lhb,image,rest,ultrasound,view",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC2878701_IJSS-03-80-g003.jpg,True,58,train_030872
ROCO_55304,PMC5111331_JCVJS-7-276-g003.jpg,"body,scan,spine,vertebral,extent,tomography,cervical,destruction", Computed tomography scan of cervical spine showing extent of vertebral body destruction,ct,"tomography,computed tomography",train,ROCO_55304,Computed tomography scan of cervical spine showing extent of vertebral body destruction,"body,scan,spine,vertebral,extent,tomography,cervical,destruction",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5111331_JCVJS-7-276-g003.jpg,True,87,train_025796
ROCO_44784,PMC5245928_JOCR-6-22-g003.jpg,"opacity,effusion,lower,nodular,showing,chest,lung,anteroposterior,view", Anteroposterior view of the chest showing nodular opacities and effusions of the lower left lung.,xray_radiograph,anteroposterior,train,ROCO_44784,Anteroposterior view of the chest showing nodular opacities and effusions of the lower left lung.,"opacity,effusion,lower,nodular,showing,chest,lung,anteroposterior,view",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5245928_JOCR-6-22-g003.jpg,True,97,train_020854
ROCO_53216,PMC3284657_10195_2011_173_Fig2_HTML.jpg,"shoulder,bony,fiber,scapular,fragment,interrupted,spine,supraspinatu,line,cortical,ultrasound,muscle"," Ultrasound of the shoulder, showing a bony fragment within the muscle belly of the supraspinatus that is still attached to muscle fibers, and an interrupted cortical line of the scapular spine",ultrasound,ultrasound,train,ROCO_53216,"Ultrasound of the shoulder, showing a bony fragment within the muscle belly of the supraspinatus that is still attached to muscle fibers, and an interrupted cortical line of the scapular spine","shoulder,bony,fiber,scapular,fragment,interrupted,spine,supraspinatu,line,cortical,ultrasound,muscle",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3284657_10195_2011_173_Fig2_HTML.jpg,True,192,train_024790
ROCO_15000,PMC3373976_kjtcs-45-186-g002.jpg,"upper,right,oxygenation,zone,consolidation,xray,chest,outflow,lung,membrane,catheter,extracorporeal,left"," Chest X-ray obtained immediately after weaning of extracorporeal membrane oxygenation. The outflow catheter was removed, and consolidation of the left upper lung zone was mildly improved. R, right.",xray_radiograph,"xray,x ray",train,ROCO_15000,"Chest X-ray obtained immediately after weaning of extracorporeal membrane oxygenation. The outflow catheter was removed, and consolidation of the left upper lung zone was mildly improved. R, right.","upper,right,oxygenation,zone,consolidation,xray,chest,outflow,lung,membrane,catheter,extracorporeal,left",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3373976_kjtcs-45-186-g002.jpg,True,197,train_006919
ROCO_77760,PMC3268525_cro0004-0602-f01.jpg,"diameter,right,associated,cm,edema,vasogenic,image,brain,recovery,precentral,presence,occipital,maximal,lesion,lobe,frontal,opercula,inversion,postcontrast,bilateral,t2,gyru,mri,flair,left"," MRI of the brain, T2 fluid-attenuated inversion recovery (FLAIR) post-contrast images, confirmed the presence of the lesions, measuring up to 1.3 cm in maximal diameter, with associated vasogenic edema in the left precentral gyrus, right occipital lobe, and bilateral frontal opercula.",mri,mri,train,ROCO_77760,"MRI of the brain, T2 fluid-attenuated inversion recovery (FLAIR) post-contrast images, confirmed the presence of the lesions, measuring up to 1.3 cm in maximal diameter, with associated vasogenic edema in the left precentral gyrus, right occipital lobe, and bilateral frontal opercula.","diameter,right,associated,cm,edema,vasogenic,image,brain,recovery,precentral,presence,occipital,maximal,lesion,lobe,frontal,opercula,inversion,postcontrast,bilateral,t2,gyru,mri,flair,left",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3268525_cro0004-0602-f01.jpg,True,285,train_036199
ROCO_37219,PMC4170840_medscimonit-20-1634-g003.jpg,"patient,syndrome,scan,magnetic,myelodysplastic,sagital,subtype,plane,ra,resonance", T1-weighted magnetic resonance scan obtained in sagital plane in patient diagnosed with the RA subtype of myelodysplastic syndrome.,mri,"magnetic,resonance,magnetic resonance",train,ROCO_37219,T1-weighted magnetic resonance scan obtained in sagital plane in patient diagnosed with the RA subtype of myelodysplastic syndrome.,"patient,syndrome,scan,magnetic,myelodysplastic,sagital,subtype,plane,ra,resonance",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4170840_medscimonit-20-1634-g003.jpg,True,131,train_017283
ROCO_15295,PMC2853828_page_211_fig_4.jpg,"apical,le,central,radiograph,oblique,resorption,lamina,month,los,portion,periapical,dura,operation,left,incisor,fort", The periapical radiograph after 15 months from the Le Fort 1 operation demonstrating loss of lamina dura and an oblique resorption at the apical portion of the left central incisor.,xray_radiograph,radiograph,train,ROCO_15295,The periapical radiograph after 15 months from the Le Fort 1 operation demonstrating loss of lamina dura and an oblique resorption at the apical portion of the left central incisor.,"apical,le,central,radiograph,oblique,resorption,lamina,month,los,portion,periapical,dura,operation,left,incisor,fort",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC2853828_page_211_fig_4.jpg,True,181,train_007057
ROCO_60817,PMC5551999_gr1.jpg,"cutoff,angiography,sign,celiac,arrow,trunk,vessel", Angiography from the celiac trunk showing vessel cutoff sign (arrow).,angiography,angiography,train,ROCO_60817,Angiography from the celiac trunk showing vessel cutoff sign (arrow).,"cutoff,angiography,sign,celiac,arrow,trunk,vessel",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5551999_gr1.jpg,True,69,train_028290
ROCO_23827,PMC4823413_kjae-69-167-g004.jpg,"preoperative,evident,level,narrowing,chestradiograph,glotti", Evident narrowing of the glottis level on preoperative chest radiograph.,xray_radiograph,radiograph,train,ROCO_23827,Evident narrowing of the glottis level on preoperative chest radiograph.,"preoperative,evident,level,narrowing,chestradiograph,glotti",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4823413_kjae-69-167-g004.jpg,True,72,train_011088
ROCO_12220,PMC3162712_JETS-4-395-g001.jpg,"bomb,wound,displacement,month,asymptomatic,rally,intact,ray,antero,political,young,radiological,clinical,scalp,stable,minimal,body,patient,intracranial,posterior,puncture,skull,shrapnel,foreign,small,male,view"," The skull X - ray (antero - posterior view) is of a neurologically intact, young male patient who presented after a bomb exploded near a political rally. The patient was asymptomatic except for a small puncture wound on scalp, causing minimal bleeding. The skull X - ray was carried out to screen for foreign bodies. The patient was managed conservatively, and at 6 months clinical and radiological follow - up, he remained stable with no displacement of the intracranial shrapnel",xray_radiograph,x ray,train,ROCO_12220,"The skull X - ray (antero - posterior view) is of a neurologically intact, young male patient who presented after a bomb exploded near a political rally. The patient was asymptomatic except for a small puncture wound on scalp, causing minimal bleeding. The skull X - ray was carried out to screen for foreign bodies. The patient was managed conservatively, and at 6 months clinical and radiological follow - up, he remained stable with no displacement of the intracranial shrapnel","bomb,wound,displacement,month,asymptomatic,rally,intact,ray,antero,political,young,radiological,clinical,scalp,stable,minimal,body,patient,intracranial,posterior,puncture,skull,shrapnel,foreign,small,male,view",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3162712_JETS-4-395-g001.jpg,True,480,train_005663
ROCO_71755,PMC4664598_2186-3326-77-0659-g004.jpg,"marker,stent,tip,angiogram,deployment", Angiogram immediately after stent deployment. Both stent tips (*) and the stent positioning marker (▲) have been shown.,angiography,angiogram,train,ROCO_71755,Angiogram immediately after stent deployment. Both stent tips (*) and the stent positioning marker (▲) have been shown.,"marker,stent,tip,angiogram,deployment",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4664598_2186-3326-77-0659-g004.jpg,True,119,train_033425
ROCO_00335,PMC3737032_1475-2875-12-271-2.jpg,"abdominal,spleen,ctscan,yellow,arrow,small", Abdominal CT-scan identify a small calcified spleen (yellow arrow).,ct,ct,train,ROCO_00335,Abdominal CT-scan identify a small calcified spleen (yellow arrow).,"abdominal,spleen,ctscan,yellow,arrow,small",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3737032_1475-2875-12-271-2.jpg,True,67,train_000162
ROCO_39063,PMC4985386_medi-94-e1768-g003.jpg,"cord,spinal,compression,obviou,level,obliteration,mrimagnetic,space,displacement,course,mild,black,imaging,resonance,circle,subarachnoid,deviou,dislocation,atlantoaxial,mri", MRI showed obvious spinal cord displacement with devious course. The obliteration of the subarachnoid space and inconspicuously mild cord compression (the black circle) are demonstrated at the level of atlantoaxial dislocation. MRI = magnetic resonance imaging.,mri,"mri,magnetic,resonance,magnetic resonance",train,ROCO_39063,MRI showed obvious spinal cord displacement with devious course. The obliteration of the subarachnoid space and inconspicuously mild cord compression (the black circle) are demonstrated at the level of atlantoaxial dislocation. MRI = magnetic resonance imaging.,"cord,spinal,compression,obviou,level,obliteration,mrimagnetic,space,displacement,course,mild,black,imaging,resonance,circle,subarachnoid,deviou,dislocation,atlantoaxial,mri",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4985386_medi-94-e1768-g003.jpg,True,261,train_018174
ROCO_47744,PMC4362133_SaudiMedJ-35-1390-g001.jpg,"pelvi,mas,urinary,image,t2,bladder,high,intensity,mri,rectum,sagittal,signal,view", An image showing a sagittal view of MRI T2 high signal intensity of the mass in the pelvis. The mass was compressing the rectum and urinary bladder.,mri,mri,train,ROCO_47744,An image showing a sagittal view of MRI T2 high signal intensity of the mass in the pelvis. The mass was compressing the rectum and urinary bladder.,"pelvi,mas,urinary,image,t2,bladder,high,intensity,mri,rectum,sagittal,signal,view",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4362133_SaudiMedJ-35-1390-g001.jpg,True,148,train_022213
ROCO_60305,PMC4568633_EUS-4-213-g001.jpg,"pancreatic,image,fluid,collection,ultrasound,endoscopic", Endoscopic ultrasound image of pancreatic fluid collection,ultrasound,ultrasound,train,ROCO_60305,Endoscopic ultrasound image of pancreatic fluid collection,"pancreatic,image,fluid,collection,ultrasound,endoscopic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4568633_EUS-4-213-g001.jpg,True,58,train_028063
ROCO_03661,PMC3883349_CCD-4-569-g005.jpg,"lesion,radiographic,mandible,radiolucency,recurrent,panoramic,posterior,examination,uniloculer", Panoramic radiographic examination of the recurrent lesion showing uniloculer radiolucency in posterior mandible,xray_radiograph,radiographic,train,ROCO_03661,Panoramic radiographic examination of the recurrent lesion showing uniloculer radiolucency in posterior mandible,"lesion,radiographic,mandible,radiolucency,recurrent,panoramic,posterior,examination,uniloculer",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3883349_CCD-4-569-g005.jpg,True,112,train_001717
ROCO_64515,PMC3615935_amjcaserep-13-62-g004.jpg,"opacity,scan,chest,parenchyma,groundglas,lung,extensive,contrast,ct", Chest CT scan without contrast showing extensive ground-glass opacities throughout lung parenchyma.,ct,ct,train,ROCO_64515,Chest CT scan without contrast showing extensive ground-glass opacities throughout lung parenchyma.,"opacity,scan,chest,parenchyma,groundglas,lung,extensive,contrast,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3615935_amjcaserep-13-62-g004.jpg,True,99,train_030060
ROCO_05256,PMC3141754_1471-230X-11-78-2.jpg,"hbl,right,lesion,lobe,image,septa,grey,ultrasound,scale,liver,girl", HBL in the right lobe of the liver in a 2-year-old girl. A grey scale ultrasound image revealed the septa within the lesions (arrow).,ultrasound,ultrasound,train,ROCO_05256,HBL in the right lobe of the liver in a 2-year-old girl. A grey scale ultrasound image revealed the septa within the lesions (arrow).,"hbl,right,lesion,lobe,image,septa,grey,ultrasound,scale,liver,girl",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3141754_1471-230X-11-78-2.jpg,True,133,train_002432
ROCO_31021,PMC1950516_1752-1947-1-47-1.jpg,"arterial,mas,right,central,cm,lobe,image,heterogeneou,hypoattenuation,axial,enhancement,hepatic,phase,region,ct", An axial CT image obtained during hepatic arterial phase demonstrates a heterogeneous enhancement of an approximately 22 × 14 cm hepatic mass involving the right hepatic lobe with a central region of hypoattenuation.,ct,ct,train,ROCO_31021,An axial CT image obtained during hepatic arterial phase demonstrates a heterogeneous enhancement of an approximately 22 × 14 cm hepatic mass involving the right hepatic lobe with a central region of hypoattenuation.,"arterial,mas,right,central,cm,lobe,image,heterogeneou,hypoattenuation,axial,enhancement,hepatic,phase,region,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC1950516_1752-1947-1-47-1.jpg,True,216,train_014391
ROCO_28675,PMC3248361_1746-160X-7-23-2.jpg,"congenital,radiograph,lateral,tooth,person,encephalometric", Radiographs of a person with 13 congenital missing teeth: lateral encephalometric radiograph.,xray_radiograph,radiograph,train,ROCO_28675,Radiographs of a person with 13 congenital missing teeth: lateral encephalometric radiograph.,"congenital,radiograph,lateral,tooth,person,encephalometric",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3248361_1746-160X-7-23-2.jpg,True,93,train_013309
ROCO_51890,PMC3469364_1752-1947-6-311-1.jpg,"xray,chest,mediastinal,widening", Chest X-ray showing mediastinal widening.,xray_radiograph,"xray,x ray",train,ROCO_51890,Chest X-ray showing mediastinal widening.,"xray,chest,mediastinal,widening",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3469364_1752-1947-6-311-1.jpg,True,41,train_024168
ROCO_02494,PMC3728782_tm-03-42-e004.jpg,"plexu,sonographic,brachial,interscalenic", Sonographic anatomyof the brachial interscalenic plexus.,ultrasound,sonographic,train,ROCO_02494,Sonographic anatomyof the brachial interscalenic plexus.,"plexu,sonographic,brachial,interscalenic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3728782_tm-03-42-e004.jpg,True,56,train_001177
